1	title: Đánh giá Samsung Galaxy M51: Pin rất khủng, màn hình đẹp, giá rẻ	title : Đánh giá Samsung Galaxy M51 : Pin rất khủng , màn hình đẹp , giá rẻ
162	camera góc cục rộng chụp ban ngày	camera góc cục rộng chụp ban ngày
163	Chế độ ban đêm cũng được sử dụng với camera góc siêu rộng.	Chế độ ban đêm cũng được sử dụng với camera góc siêu rộng .
164	Bạn cũng nhận được hình ảnh khá tốt, tuy nhiên phóng to hình ảnh lên cũng sẽ thấy những điểm mờ hoặc hạt mịn.	Bạn cũng nhận được hình ảnh khá tốt , tuy nhiên phóng to hình ảnh lên cũng sẽ thấy những điểm mờ hoặc hạt mịn .
165	Nói chung hình ảnh sử dụng được nhưng không quá đẹp.	Nói chung hình ảnh sử dụng được nhưng không quá đẹp .
166	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
167	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
168	Ảnh chụp chế độ ban đêm góc cực rộng	Ảnh chụp chế độ ban đêm góc cực rộng
169	Camera Macro	Camera Macro
170	Nhờ một cảm biến macro 5MP, bạn sẽ có được những tấm ảnh đẹp với nhiều chi tiết và tái hiện màu sắc rất tốt.	Nhờ một cảm biến macro 5MP , bạn sẽ có được những tấm ảnh đẹp với nhiều chi tiết và tái hiện màu sắc rất tốt .
171	Đây là một ưu điểm khi xu thế hiện nay rất yêu thích chụp hình cận cảnh.	Đây là một ưu điểm khi xu thế hiện nay rất yêu thích chụp hình cận cảnh .
172	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
173	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
174	Ảnh chụp Macro	Ảnh chụp Macro
175	Tuy nhiên đây là một ống kính tiêu cự cố định nên không có khả năng tự động lấy nét.	Tuy nhiên đây là một ống kính tiêu cự cố định nên không có khả năng tự động lấy nét .
176	Vì vậy bạn cần đưa ống kính tới đúng tiêu cự và duy trì để lấy nét chính xác mới có hình ảnh đẹp được.	Vì vậy bạn cần đưa ống kính tới đúng tiêu cự và duy trì để lấy nét chính xác mới có hình ảnh đẹp được .
177	Chân dung	Chân dung
178	Chế độ Live Focus của Samsung cho phép bạn chụp chân dung.	Chế độ Live Focus của Samsung cho phép bạn chụp chân dung .
179	Hơn nữa bạn còn có thể xem trước độ mờ của background.	Hơn nữa bạn còn có thể xem trước độ mờ của background .
180	Cảm biến phát hiện cạnh tốt, tất nhiên là chủ thể phải đứng yên.	Cảm biến phát hiện cạnh tốt , tất nhiên là chủ thể phải đứng yên .
181	Ngoài ra bạn còn có tùy chọn để thay đổi độ mờ và kiểu mờ sau khi đã chụp ảnh xong.	Ngoài ra bạn còn có tùy chọn để thay đổi độ mờ và kiểu mờ sau khi đã chụp ảnh xong .
182	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
183	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
184	Ảnh chân dung camera sau từ Galaxy M51	Ảnh chân dung camera sau từ Galaxy M51
185	Camera trước	Camera trước
186	Camera selfie dùng cảm biến Sony IMX616 32MP tạo ra hình ảnh mặc định 8MP, nhưng bạn cùng có thể chọn chế độ chụp 32MP đấy.	Camera selfie dùng cảm biến Sony IMX616 32MP tạo ra hình ảnh mặc định 8MP , nhưng bạn cùng có thể chọn chế độ chụp 32MP đấy .
187	alt:	alt :
188	des:	des :
189	Ảnh selfie thường	Ảnh selfie thường
190	Chất lượng hình ảnh rất tốt với camera selfie này.	Chất lượng hình ảnh rất tốt với camera selfie này .
191	Nhưng có một điều đặc biệt chính là bạn đang chỉ có một ống kính thường và bạn vẫn có thể chụp góc rộng selfie.	Nhưng có một điều đặc biệt chính là bạn đang chỉ có một ống kính thường và bạn vẫn có thể chụp góc rộng selfie .
192	alt:	alt :
193	des:	des :
194	Ảnh Selfie góc gộng	Ảnh Selfie góc gộng
195	Quay video	Quay video
196	Video 4K ở tốc độ 30 khung hình / giây và 1080p ở tốc độ 30 khung hình / giây có chất lượng tuyệt vời.	Video 4K ở tốc độ 30 khung hình / giây và 1080p ở tốc độ 30 khung hình / giây có chất lượng tuyệt vời .
197	Mặc dù Samsung không đầu tư chống rung quang học nhưng lại có EIS rất tốt nên hình ảnh rất ổn định và cho chất lượng cao.	Mặc dù Samsung không đầu tư chống rung quang học nhưng lại có EIS rất tốt nên hình ảnh rất ổn định và cho chất lượng cao .
198	Tuổi thọ pin	Tuổi thọ pin
199	Điện thoại Samsung Galaxy M51 được trang bị viên pin khủng nhất trên thị trường hiện nay nhờ một bước đột phá trong thiết kế.	Điện thoại Samsung Galaxy M51 được trang bị viên pin khủng nhất trên thị trường hiện nay nhờ một bước đột phá trong thiết kế .
200	Với viên pin này thì chắc chắn bạn sẽ có một thời lượng pin khủng để sử dụng và nếu như mức sử dụng của bạn ở mức trung bình thì dùng 2-3 ngày là quá bình thường rồi.	Với viên pin này thì chắc chắn bạn sẽ có một thời lượng pin khủng để sử dụng và nếu như mức sử dụng của bạn ở mức trung bình thì dùng 2 - 3 ngày là quá bình thường rồi .
201	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
202	des: Samsung Galaxy M51	des : Samsung Galaxy M51
203	Điểm đặc biệt khác của điện thoại này nằm ở bộ sạc của nó.	Điểm đặc biệt khác của điện thoại này nằm ở bộ sạc của nó .
204	Đó là bộ sạc C to C khá đặc biệt trên thị trường.	Đó là bộ sạc C to C khá đặc biệt trên thị trường .
205	Với cấu tạo này thì bạn sẽ không cần mua thêm một cáp khác để thực hiện sạc ngược mà dùng luôn cáp này sạc ngược cho một điện thoại có chân tpye C khác.	Với cấu tạo này thì bạn sẽ không cần mua thêm một cáp khác để thực hiện sạc ngược mà dùng luôn cáp này sạc ngược cho một điện thoại có chân tpye C khác .
206	Nó đi kèm sạc nhanh 25W, vẫn là nhanh nhưng đối với viên pin 7000 mAh. Galaxy M51 mất 115 phút để sạc từ 0% lên 100% với bộ sạc nhanh 25W đi kèm.	Nó đi kèm sạc nhanh 25W , vẫn là nhanh nhưng đối với viên pin 7000 mAh . Galaxy M51 mất 115 phút để sạc từ 0% lên 100% với bộ sạc nhanh 25W đi kèm .
207	Đây là nói đang sạc cho một viên pin khủng đấy nhé.	Đây là nói đang sạc cho một viên pin khủng đấy nhé .
208	Khi chúng ta có thời lương pin cực lớn như thế này rồi thì vấn đề sạc không cần quá nhanh vì khi chịu tải sạc nhanh thì tuổi thọ về lâu dài của viên pin sẽ kém hơn.	Khi chúng ta có thời lương pin cực lớn như thế này rồi thì vấn đề sạc không cần quá nhanh vì khi chịu tải sạc nhanh thì tuổi thọ về lâu dài của viên pin sẽ kém hơn .
209	Bởi vậy để nói một cục sạc 65W hay 25W thì tất nhiên sạc 65W sẽ nhanh chóng gây “chai” pin hơn đấy.	Bởi vậy để nói một cục sạc 65W hay 25W thì tất nhiên sạc 65W sẽ nhanh chóng gây “ chai ” pin hơn đấy .
210	So sánh với đối thủ	So sánh với đối thủ
211	Hiện tại chiếc Samsung Galaxy M51 mới ra mắt tại Ấn Độ và mức giá đâu đó tầm 8 triệu và với mức giá này bạn vẫn có những lựa chọn khác cho bản thân.	Hiện tại chiếc Samsung Galaxy M51 mới ra mắt tại Ấn Độ và mức giá đâu đó tầm 8 triệu và với mức giá này bạn vẫn có những lựa chọn khác cho bản thân .
212	Tất nhiên những lựa chọn đó nhằm vào nhu cầu riêng về một mảng nào đó mà thôi.	Tất nhiên những lựa chọn đó nhằm vào nhu cầu riêng về một mảng nào đó mà thôi .
213	Vivo V19	Vivo V19
214	Đầu tiên trong danh sách chúng ta sẽ có chiếc  Vivo V19  ở cùng một mức giá.	Đầu tiên trong danh sách chúng ta sẽ có chiếc Vivo V19 ở cùng một mức giá .
215	Chiếc điện thoại này có một vài ưu thế lớn như một màn hình có độ sáng cực cao, hoàn thiện 2 mặt kính cao cấp hơn và camera selfie kép đẳng cấp.	Chiếc điện thoại này có một vài ưu thế lớn như một màn hình có độ sáng cực cao , hoàn thiện 2 mặt kính cao cấp hơn và camera selfie kép đẳng cấp .
216	Tuy nhiên những mặt khác tỏ ra yếu đuối hơn Galaxy M51 một chút.	Tuy nhiên những mặt khác tỏ ra yếu đuối hơn Galaxy M51 một chút .
217	Đó là một bộ xử lý chậm hơn với Snapdragon 712, phần cứng camera sau yếu hơn.	Đó là một bộ xử lý chậm hơn với Snapdragon 712 , phần cứng camera sau yếu hơn .
218	Tất nhiên nói về pin thì chẳng có máy nào so sánh được với viên pin 7.000 mAh của M51.	Tất nhiên nói về pin thì chẳng có máy nào so sánh được với viên pin 7.000 mAh của M51 .
219	Realme 6 Pro	Realme 6 Pro
220	Tiếp tục là chiếc  Realme 6 Pro  cũng có mức giá tương đương.	Tiếp tục là chiếc Realme 6 Pro cũng có mức giá tương đương .
221	Nó được hoàn thiện 2 mặt kính, một màn hình 90Hz mượt mà hơn, trang bị ống kính tele, camera selfie kép đẳng cấp hơn, sạc nhanh hơn.	Nó được hoàn thiện 2 mặt kính , một màn hình 90Hz mượt mà hơn , trang bị ống kính tele , camera selfie kép đẳng cấp hơn , sạc nhanh hơn .
222	Nhưng ngược lại bạn sẽ chỉ có một màn hình IPS LCD, bộ xử lý Snapdragon 720G thấp hơn một bậc.	Nhưng ngược lại bạn sẽ chỉ có một màn hình IPS LCD , bộ xử lý Snapdragon 720G thấp hơn một bậc .
223	Tất nhiên sạc nhanh 30W thì nhanh hơn nhưng dung lượng pin thì gặp “ông nội” rồi.	Tất nhiên sạc nhanh 30W thì nhanh hơn nhưng dung lượng pin thì gặp “ ông nội ” rồi .
224	OPPO A93	OPPO A93
225	Oppo A93  là một lựa chọn khác nhưng nó có mức giá rẻ hơn một chút.	Oppo A93 là một lựa chọn khác nhưng nó có mức giá rẻ hơn một chút .
226	Vẫn là hoàn thiện hai mặt kính cao cấp hơn, bộ xử lý tương đương nhau nhưng nó có camera selfie kép tốt hơn để chụp chân dung.	Vẫn là hoàn thiện hai mặt kính cao cấp hơn , bộ xử lý tương đương nhau nhưng nó có camera selfie kép tốt hơn để chụp chân dung .
227	Ngược lại nói về pin thì bạn không cần so sánh nhiều vì 7.000 mAh là không ai vượt nổi rồi.	Ngược lại nói về pin thì bạn không cần so sánh nhiều vì 7.000 mAh là không ai vượt nổi rồi .
228	Thêm vào đó là một màn hình hiển thị đẹp hơn và lớn hơn cùng với phần cứng camera sau mạnh mẽ hơn là những lợi thế của Galaxy M51.	Thêm vào đó là một màn hình hiển thị đẹp hơn và lớn hơn cùng với phần cứng camera sau mạnh mẽ hơn là những lợi thế của Galaxy M51 .
229	Xiaomi Redmi Note 9 Pro	Xiaomi Redmi Note 9 Pro
230	Cuối cùng chúng ta sẽ nói về chiếc Xiaomi Redmi Note 9 Pro.	Cuối cùng chúng ta sẽ nói về chiếc Xiaomi Redmi Note 9 Pro .
231	Nó cũng có mặt sau bằng nhựa với khung nhôm nhưng lại có IP53 chống sốc rất tốt.	Nó cũng có mặt sau bằng nhựa với khung nhôm nhưng lại có IP53 chống sốc rất tốt .
232	Một màn hình IPS LCD hiển thị yếu hơn nhưng lại có tốc độ làm mới tới 120Hz và độ sáng cao.	Một màn hình IPS LCD hiển thị yếu hơn nhưng lại có tốc độ làm mới tới 120Hz và độ sáng cao .
233	Bộ xử lý Snapdragon 732G mạnh mẽ hơn một chút so với 730G và nó cũng là tối ưu hóa chơi game hơn.	Bộ xử lý Snapdragon 732G mạnh mẽ hơn một chút so với 730G và nó cũng là tối ưu hóa chơi game hơn .
234	Phần cứng camera tương đương nhưng macro cùng selfie có độ phân giải thấp hơn.	Phần cứng camera tương đương nhưng macro cùng selfie có độ phân giải thấp hơn .
235	Pin thì không thể so sánh với pin của M51 rồi.	Pin thì không thể so sánh với pin của M51 rồi .
236	Giá và địa chỉ bán	Giá và địa chỉ bán
237	Kết luận	Kết luận
238	Samsung Galaxy M51 được đánh giá là khá toàn diện trong phân khúc tầm trung.	Samsung Galaxy M51 được đánh giá là khá toàn diện trong phân khúc tầm trung .
239	Nó đang nắm giữ vô địch về dung lượng và thời lượng pin, vì thế rất thích hợp để bạn sử dụng lâu dài mà không cần lo lắng nhiều về sạc.	Nó đang nắm giữ vô địch về dung lượng và thời lượng pin , vì thế rất thích hợp để bạn sử dụng lâu dài mà không cần lo lắng nhiều về sạc .
240	Thêm vào đó là một màn hình lớn và bộ xử lý mạnh mẽ, tối ưu hóa chơi game làm bạn thoải mái giải trí.	Thêm vào đó là một màn hình lớn và bộ xử lý mạnh mẽ , tối ưu hóa chơi game làm bạn thoải mái giải trí .
241	Chụp ảnh cũng đẹp và đa năng với chụp macro nổi bật và chi tiết nhiều hơn.	Chụp ảnh cũng đẹp và đa năng với chụp macro nổi bật và chi tiết nhiều hơn .
{"subject": ["17-4&&Samsung", "17-5&&Galaxy", "17-6&&M51"], "object": ["17-36&&những", "17-37&&chiếc", "17-38&&S20"], "aspect": ["17-27&&độ", "17-28&&dày"], "predicate": ["17-33&&tương", "17-34&&đương"], "label": "EQL"}
{"subject": ["28-1&&Màn", "28-2&&hình", "28-3&&đục", "28-4&&lỗ", "28-5&&không", "28-6&&khống", "28-7&&chế", "28-8&&ở", "28-9&&góc", "28-10&&màn", "28-11&&hình", "28-12&&mà", "28-13&&lại", "28-14&&là", "28-15&&chính", "28-16&&giữa"], "object": ["28-23&&những", "28-24&&màn", "28-25&&hình", "28-26&&khác"], "aspect": [], "predicate": ["28-19&&hơi", "28-20&&lạ"], "label": "DIF"}
{"subject": ["29-12&&nó"], "object": ["29-8&&những", "29-9&&chiếc", "29-10&&Flagship"], "aspect": ["29-3&&đục", "29-4&&lỗ"], "predicate": ["29-5&&không", "29-6&&nhỏ", "29-7&&như"], "label": "COM-"}
{"subject": ["38-11&&cụm", "38-12&&camera", "38-13&&này"], "object": ["38-22&&Samsung", "38-23&&Galaxy", "38-24&&S20"], "aspect": [], "predicate": ["38-14&&không", "38-15&&có", "38-16&&nhô", "38-17&&ra", "38-18&&quá", "38-19&&nhiều", "38-20&&như"], "label": "COM+"}
{"subject": ["44-4&&các", "44-5&&cổng", "44-6&&kết", "44-7&&nối", "44-8&&cùng", "44-9&&nút", "44-10&&bấm"], "object": [], "aspect": [], "predicate": ["44-11&&đều", "44-12&&được", "44-13&&tích", "44-14&&hợp", "44-15&&trên", "44-16&&khung", "44-17&&máy", "44-18&&này"], "label": "EQL"}
{"subject": [], "object": ["54-25&&các", "54-26&&mẫu", "54-27&&điện", "54-28&&thoại", "54-29&&khác"], "aspect": ["54-5&&nút", "54-6&&nguồn"], "predicate": ["54-16&&hơi", "54-17&&dịch", "54-18&&lên", "54-19&&phía", "54-20&&trên", "54-21&&một", "54-22&&chút"], "label": "DIF"}
{"subject": [], "object": ["54-25&&các", "54-26&&mẫu", "54-27&&điện", "54-28&&thoại", "54-29&&khác"], "aspect": ["54-9&&phím", "54-10&&tăng", "54-11&&giảm", "54-12&&âm", "54-13&&lượng"], "predicate": ["54-16&&hơi", "54-17&&dịch", "54-18&&lên", "54-19&&phía", "54-20&&trên", "54-21&&một", "54-22&&chút"], "label": "DIF"}
{"subject": ["72-11&&Samsung"], "object": ["72-16&&các", "72-17&&thương", "72-18&&hiệu", "72-19&&khác"], "aspect": ["72-21&&chất", "72-22&&lượng", "72-23&&màn", "72-24&&hình"], "predicate": ["72-14&&nhỉnh", "72-15&&hơn"], "label": "COM+"}
{"subject": ["72-28&&nó"], "object": [], "aspect": ["72-33&&tốc", "72-34&&độ", "72-35&&làm", "72-36&&mới"], "predicate": ["72-30&&thua", "72-31&&kém"], "label": "COM-"}
{"subject": ["73-39&&chúng"], "object": ["73-44&&chiếc", "73-45&&M51", "73-46&&này"], "aspect": ["73-36&&mức", "73-37&&giá"], "predicate": ["73-41&&tương", "73-42&&đương"], "label": "EQL"}
{"subject": ["74-14&&nó"], "object": ["74-29&&màn", "74-30&&hình", "74-31&&90Hz", "74-32&&cùng", "74-33&&chipset"], "aspect": ["74-19&&độ", "74-20&&mượt", "74-21&&khi", "74-22&&chơi", "74-23&&game"], "predicate": ["74-24&&không", "74-25&&thể", "74-26&&so", "74-27&&sánh", "74-28&&với"], "label": "COM-"}
{"subject": ["98-22&&M51"], "object": [], "aspect": [], "predicate": ["98-27&&mạnh", "98-28&&mẽ", "98-29&&nhất", "98-30&&trong", "98-31&&dòng", "98-32&&M"], "label": "SUP+"}
{"subject": ["101-14&&Galaxy", "101-15&&M51"], "object": ["101-23&&các", "101-24&&mức", "101-25&&điểm", "101-26&&chuẩn", "101-27&&phổ", "101-28&&biến"], "aspect": ["101-11&&hiệu", "101-12&&năng"], "predicate": ["101-18&&kém", "101-19&&hơn"], "label": "COM-"}
{"subject": ["102-6&&nó"], "object": ["102-11&&các", "102-12&&thiết", "102-13&&bị", "102-14&&chạy", "102-15&&Snapdragon", "102-16&&730G", "102-17&&khác"], "aspect": ["102-1&&Điểm", "102-2&&số", "102-3&&Geekbench", "102-4&&5"], "predicate": ["102-7&&thấp", "102-8&&hơn"], "label": "COM-"}
{"subject": ["104-1&&GPU", "104-2&&Adreno", "104-3&&618", "104-4&&của", "104-5&&Snapdragon", "104-6&&730G"], "object": ["104-13&&Adreno", "104-14&&612", "104-15&&của", "104-16&&Snapdragon", "104-17&&675"], "aspect": [], "predicate": ["104-8&&một", "104-9&&bước", "104-10&&tiến", "104-11&&so", "104-12&&với"], "label": "COM+"}
{"subject": ["105-4&&nó"], "object": ["105-7&&GPU", "105-8&&Adreno", "105-9&&620", "105-10&&của", "105-11&&Snapdragon", "105-12&&765G"], "aspect": [], "predicate": ["105-5&&thua", "105-6&&kém"], "label": "COM-"}
{"subject": ["106-1&&Galaxy", "106-2&&M51"], "object": ["106-18&&các", "106-19&&thiết", "106-20&&bị", "106-21&&chạy", "106-22&&Snapdragon", "106-23&&730G", "106-24&&khác"], "aspect": ["106-7&&điểm", "106-8&&số"], "predicate": ["106-14&&thấp", "106-15&&hơn"], "label": "COM-"}
{"subject": ["106-1&&Galaxy", "106-2&&M51"], "object": ["106-18&&các", "106-19&&thiết", "106-20&&bị", "106-21&&chạy", "106-22&&Snapdragon", "106-23&&730G", "106-24&&khác"], "aspect": ["106-10&&tốc", "106-11&&độ", "106-12&&khung", "106-13&&hình"], "predicate": ["106-14&&thấp", "106-15&&hơn"], "label": "COM-"}
{"subject": ["108-16&&màn", "108-17&&hình", "108-18&&của", "108-19&&chiếc", "108-20&&M51"], "object": ["108-35&&các", "108-36&&màn", "108-37&&hình", "108-38&&có", "108-39&&tốc", "108-40&&độ", "108-41&&làm", "108-42&&mới", "108-43&&90", "108-44&&Hz", "108-45&&hay", "108-46&&120", "108-47&&Hz", "108-48&&của", "108-49&&Realme", "108-50&&hoặc", "108-51&&Xiaomi"], "aspect": ["108-12&&tốc", "108-13&&độ", "108-14&&làm", "108-15&&mới"], "predicate": ["108-31&&quá", "108-32&&thấp", "108-33&&so", "108-34&&với"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["142-6&&hình", "142-7&&ảnh"], "predicate": ["142-8&&sắc", "142-9&&nét", "142-10&&hơn"], "label": "COM+"}
{"subject": [], "object": [], "aspect": [], "predicate": ["142-12&&chi", "142-13&&tiết", "142-14&&hơn"], "label": "COM+"}
{"subject": ["143-4&&nó"], "object": [], "aspect": ["143-8&&không", "143-9&&gian", "143-10&&lưu", "143-11&&trữ"], "predicate": ["143-6&&chiếm", "143-7&&nhiều", "143-8&&không", "143-9&&gian", "143-10&&lưu", "143-11&&trữ", "143-12&&hơn"], "label": "COM-"}
{"subject": ["146-5&&hình", "146-6&&ảnh"], "object": [], "aspect": ["146-8&&độ", "146-9&&phơi", "146-10&&sáng"], "predicate": ["146-12&&cao", "146-13&&hơn"], "label": "COM+"}
{"subject": ["146-5&&hình", "146-6&&ảnh"], "object": [], "aspect": ["146-17&&chi", "146-18&&tiết", "146-19&&ở", "146-20&&những", "146-21&&vùng", "146-22&&tối"], "predicate": ["146-15&&nâng", "146-16&&cao", "146-17&&chi", "146-18&&tiết", "146-19&&ở", "146-20&&những", "146-21&&vùng", "146-22&&tối", "146-23&&hơn"], "label": "COM+"}
{"subject": ["157-1&&Camera", "157-2&&góc", "157-3&&cực", "157-4&&rộng"], "object": ["157-27&&các", "157-28&&mẫu", "157-29&&ultrawide", "157-30&&khác"], "aspect": ["157-19&&trường", "157-20&&ảnh"], "predicate": ["157-21&&rộng", "157-22&&hơn", "157-23&&khá", "157-24&&nhiều"], "label": "COM+"}
{"subject": ["199-3&&Samsung", "199-4&&Galaxy", "199-5&&M51"], "object": [], "aspect": ["199-9&&viên", "199-10&&pin"], "predicate": ["199-11&&khủng", "199-12&&nhất", "199-13&&trên", "199-14&&thị", "199-15&&trường", "199-16&&hiện", "199-17&&nay"], "label": "SUP+"}
{"subject": ["209-14&&sạc", "209-15&&65W"], "object": ["209-10&&25W"], "aspect": ["209-19&&gây", "209-20&&“", "209-21&&chai", "209-22&&”", "209-23&&pin"], "predicate": ["209-24&&hơn"], "label": "COM-"}
{"subject": [], "object": ["214-11&&Vivo", "214-12&&V19"], "aspect": ["214-16&&mức", "214-17&&giá"], "predicate": ["214-14&&cùng", "214-15&&một"], "label": "EQL"}
{"subject": ["215-1&&Chiếc", "215-2&&điện", "215-3&&thoại", "215-4&&này"], "object": [], "aspect": ["215-21&&hoàn", "215-22&&thiện", "215-23&&2", "215-24&&mặt", "215-25&&kính"], "predicate": ["215-26&&cao", "215-27&&cấp", "215-28&&hơn"], "label": "COM+"}
{"subject": [], "object": ["216-11&&Galaxy", "216-12&&M51"], "aspect": ["216-3&&những", "216-4&&mặt", "216-5&&khác"], "predicate": ["216-8&&yếu", "216-9&&đuối", "216-10&&hơn"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["217-4&&bộ", "217-5&&xử", "217-6&&lý"], "predicate": ["217-7&&chậm", "217-8&&hơn"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["217-13&&phần", "217-14&&cứng", "217-15&&camera", "217-16&&sau"], "predicate": ["217-17&&yếu", "217-18&&hơn"], "label": "COM-"}
{"subject": ["218-20&&M51"], "object": [], "aspect": ["218-5&&pin"], "predicate": ["218-7&&chẳng", "218-8&&có", "218-9&&máy", "218-10&&nào", "218-11&&so", "218-12&&sánh", "218-13&&được"], "label": "SUP+"}
{"subject": ["220-5&&Realme", "220-6&&6", "220-7&&Pro"], "object": [], "aspect": ["220-10&&mức", "220-11&&giá"], "predicate": ["220-12&&tương", "220-13&&đương"], "label": "EQL"}
{"subject": ["221-1&&Nó"], "object": [], "aspect": ["221-10&&màn", "221-11&&hình"], "predicate": ["221-13&&mượt", "221-14&&mà", "221-15&&hơn"], "label": "COM+"}
{"subject": ["221-1&&Nó"], "object": [], "aspect": ["221-23&&camera", "221-24&&selfie"], "predicate": ["221-26&&đẳng", "221-27&&cấp", "221-28&&hơn"], "label": "COM+"}
{"subject": ["221-1&&Nó"], "object": [], "aspect": ["221-30&&sạc"], "predicate": ["221-31&&nhanh", "221-32&&hơn"], "label": "COM+"}
{"subject": [], "object": [], "aspect": ["222-14&&bộ", "222-15&&xử", "222-16&&lý"], "predicate": ["222-19&&thấp", "222-20&&hơn", "222-21&&một", "222-22&&bậc"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["223-3&&sạc", "223-4&&nhanh"], "predicate": ["223-7&&nhanh", "223-8&&hơn"], "label": "COM+"}
{"subject": ["225-9&&nó"], "object": [], "aspect": ["225-11&&mức", "225-12&&giá"], "predicate": ["225-13&&rẻ", "225-14&&hơn", "225-15&&một", "225-16&&chút"], "label": "COM+"}
{"subject": ["226-19&&nó"], "object": [], "aspect": ["226-3&&hoàn", "226-4&&thiện", "226-5&&hai", "226-6&&mặt", "226-7&&kính"], "predicate": ["226-8&&cao", "226-9&&cấp", "226-10&&hơn"], "label": "COM+"}
{"subject": ["226-19&&nó"], "object": [], "aspect": ["226-12&&bộ", "226-13&&xử", "226-14&&lý"], "predicate": ["226-15&&tương", "226-16&&đương", "226-17&&nhau"], "label": "EQL"}
{"subject": ["226-19&&nó"], "object": [], "aspect": ["226-21&&camera", "226-22&&selfie"], "predicate": ["226-24&&tốt", "226-25&&hơn"], "label": "COM+"}
{"subject": [], "object": [], "aspect": ["227-5&&pin"], "predicate": ["227-17&&không", "227-18&&ai", "227-19&&vượt", "227-20&&nổi"], "label": "SUP+"}
{"subject": ["228-29&&Galaxy", "228-30&&M51"], "object": [], "aspect": ["228-6&&màn", "228-7&&hình", "228-8&&hiển", "228-9&&thị"], "predicate": ["228-10&&đẹp", "228-11&&hơn"], "label": "COM+"}
{"subject": ["228-29&&Galaxy", "228-30&&M51"], "object": [], "aspect": ["228-6&&màn", "228-7&&hình", "228-8&&hiển", "228-9&&thị"], "predicate": ["228-13&&lớn", "228-14&&hơn"], "label": "COM+"}
{"subject": ["228-29&&Galaxy", "228-30&&M51"], "object": [], "aspect": ["228-17&&phần", "228-18&&cứng", "228-19&&camera", "228-20&&sau"], "predicate": ["228-21&&mạnh", "228-22&&mẽ", "228-23&&hơn"], "label": "COM+"}
{"subject": [], "object": [], "aspect": ["232-2&&màn", "232-3&&hình"], "predicate": ["232-6&&hiển", "232-7&&thị", "232-8&&yếu", "232-9&&hơn"], "label": "COM-"}
{"subject": ["232-2&&màn", "232-3&&hình", "232-4&&IPS", "232-5&&LCD"], "object": [], "aspect": ["232-6&&hiển", "232-7&&thị"], "predicate": ["232-8&&yếu", "232-9&&hơn"], "label": "COM-"}
{"subject": ["233-1&&Bộ", "233-2&&xử", "233-3&&lý", "233-4&&Snapdragon", "233-5&&732G"], "object": ["233-13&&730G"], "aspect": [], "predicate": ["233-6&&mạnh", "233-7&&mẽ", "233-8&&hơn", "233-9&&một", "233-10&&chút"], "label": "COM+"}
{"subject": [], "object": [], "aspect": ["234-1&&Phần", "234-2&&cứng", "234-3&&camera"], "predicate": ["234-4&&tương", "234-5&&đương"], "label": "EQL"}
{"subject": [], "object": [], "aspect": ["234-7&&macro"], "predicate": ["234-11&&độ", "234-12&&phân", "234-13&&giải", "234-14&&thấp", "234-15&&hơn"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["234-9&&selfie"], "predicate": ["234-11&&độ", "234-12&&phân", "234-13&&giải", "234-14&&thấp", "234-15&&hơn"], "label": "COM-"}
{"subject": ["234-7&&macro"], "object": [], "aspect": ["234-11&&độ", "234-12&&phân", "234-13&&giải"], "predicate": ["234-14&&thấp", "234-15&&hơn"], "label": "COM-"}
{"subject": ["234-9&&selfie"], "object": [], "aspect": ["234-11&&độ", "234-12&&phân", "234-13&&giải"], "predicate": ["234-14&&thấp", "234-15&&hơn"], "label": "COM-"}
{"subject": [], "object": ["235-10&&M51"], "aspect": ["235-1&&Pin"], "predicate": ["235-3&&không", "235-4&&thể", "235-5&&so", "235-6&&sánh", "235-7&&với"], "label": "COM-"}
{"subject": [], "object": [], "aspect": ["241-9&&chụp", "241-10&&macro"], "predicate": ["241-14&&chi", "241-15&&tiết", "241-16&&nhiều", "241-17&&hơn"], "label": "COM+"}
{"subject": ["241-9&&chụp", "241-10&&macro"], "object": [], "aspect": ["241-14&&chi", "241-15&&tiết"], "predicate": ["241-16&&nhiều", "241-17&&hơn"], "label": "COM+"}
